data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-08-02T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,16.0,1.0,17.0,99.0,116.0,1.0,2.0,2801.0,472.0,3138.0,251.0,3389.0,130753.0,85639.0,-,-,-,-
2020-08-02T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,2.0,0.0,2.0,49.0,51.0,1.0,1.0,374.0,28.0,402.0,51.0,453.0,47430.0,46640.0,SI COMUNICA UNICAMENTE LA POSITIVITA' INDIVIDUATA CON ATTIVITA' DI SCREENING IN CITTADINA MOLDAVA GIUNTA IN BASILICATA ED ALLA DATA ODIERNA ASINTOMATICA ED IN ISOLAMENTO DOMICILIARE. DOMANI 03 AGOSTO SARA' INVIATO L'AGGIORNAMENTO COMPLETO DEI DATI RELATIVI AI TAMPONI OF. ESEGUITI ED AI CASI TOTALI TESTATI IL 2 E 3 AGOSTO 2020.,-,-,-
2020-08-02T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,5.0,1.0,6.0,92.0,98.0,1.0,1.0,1075.0,97.0,1159.0,111.0,1270.0,122362.0,120328.0,-,-,-,-
2020-08-02T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,35.0,3.0,38.0,363.0,401.0,4.0,7.0,4180.0,435.0,4940.0,76.0,5016.0,337192.0,174273.0,-,-,-,-
2020-08-02T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.341720800000001,68.0,4.0,72.0,1468.0,1540.0,30.0,49.0,23943.0,4291.0,28392.0,1382.0,29774.0,673244.0,407452.0,In seguito a verifica è stato eliminato 1 caso (da Modena) in quanto inserimento duplicato dello stesso paziente con dati anagrafici non corretti. Si corregge pertanto il numero dei casi comunicato ieri: n corretto 29725.,-,-,-
2020-08-02T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,9.0,3.0,12.0,125.0,137.0,8.0,10.0,2929.0,345.0,3382.0,29.0,3411.0,255780.0,126943.0,-,-,-,-
2020-08-02T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,176.0,9.0,185.0,779.0,964.0,14.0,17.0,6855.0,863.0,6203.0,2479.0,8682.0,421864.0,347749.0,-,-,-,-
2020-08-02T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,20.0,0.0,20.0,196.0,216.0,3.0,6.0,8453.0,1567.0,8477.0,1759.0,10236.0,192061.0,102520.0,-,-,-,-
2020-08-02T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,153.0,9.0,162.0,5659.0,5821.0,-134.0,38.0,73676.0,16815.0,89676.0,6636.0,96312.0,1316219.0,791698.0,-,-,-,-
2020-08-02T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,11.0,0.0,11.0,136.0,147.0,3.0,8.0,5763.0,987.0,6897.0,0.0,6897.0,169032.0,101330.0,-,-,-,-
2020-08-02T17:00:00,ITA,14.0,Molise,41.55774754,14.65916051,1.0,0.0,1.0,30.0,31.0,2.0,2.0,421.0,23.0,473.0,2.0,475.0,28138.0,26987.0,-,-,-,-
2020-08-02T17:00:00,ITA,21.0,P.A. Bolzano,46.49933453,11.35662422,7.0,0.0,7.0,100.0,107.0,0.0,3.0,2329.0,292.0,2728.0,0.0,2728.0,107198.0,55385.0,-,-,-,-
2020-08-02T17:00:00,ITA,22.0,P.A. Trento,46.06893511,11.12123097,1.0,0.0,1.0,98.0,99.0,0.0,4.0,4475.0,405.0,3395.0,1584.0,4979.0,155400.0,73042.0,-,-,-,-
2020-08-02T17:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,95.0,5.0,100.0,710.0,810.0,9.0,15.0,26759.0,4129.0,25209.0,6489.0,31698.0,503678.0,308574.0,-,-,-,-
2020-08-02T17:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,20.0,0.0,20.0,100.0,120.0,8.0,8.0,3967.0,552.0,1994.0,2645.0,4639.0,243309.0,167514.0,Per 1193 casi non è disponibile la provenienza,-,-,-
2020-08-02T17:00:00,ITA,20.0,Sardegna,39.21531192,9.110616306,3.0,0.0,3.0,40.0,43.0,4.0,4.0,1237.0,134.0,1369.0,45.0,1414.0,107416.0,91373.0,-,-,-,-
2020-08-02T17:00:00,ITA,19.0,Sicilia,38.11569725,13.362356699999998,36.0,3.0,39.0,246.0,285.0,4.0,7.0,2737.0,283.0,2822.0,483.0,3305.0,280835.0,220126.0,-,-,-,-
2020-08-02T17:00:00,ITA,9.0,Toscana,43.76923077,11.25588885,15.0,0.0,15.0,382.0,397.0,5.0,9.0,8966.0,1135.0,10263.0,235.0,10498.0,430576.0,285083.0,-,-,-,-
2020-08-02T17:00:00,ITA,10.0,Umbria,43.10675841,12.38824698,7.0,0.0,7.0,19.0,26.0,2.0,2.0,1368.0,80.0,1451.0,23.0,1474.0,122404.0,78969.0,-,-,-,-
2020-08-02T17:00:00,ITA,2.0,Valle d'Aosta,45.73750286,7.320149366,1.0,0.0,1.0,12.0,13.0,1.0,1.0,1050.0,146.0,1074.0,135.0,1209.0,21699.0,15680.0,-,-,-,-
2020-08-02T17:00:00,ITA,5.0,Veneto,45.43490485,12.33845213,27.0,4.0,31.0,1003.0,1034.0,33.0,45.0,17102.0,2075.0,19433.0,778.0,20211.0,1250175.0,490763.0,-,-,-,-
