data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-08-07T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,22.0,1.0,23.0,167.0,190.0,37.0,39.0,2812.0,472.0,3178.0,296.0,3474.0,134268.0,87440.0,-,-,-,-
2020-08-07T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,2.0,0.0,2.0,72.0,74.0,21.0,21.0,373.0,28.0,402.0,73.0,475.0,48882.0,48092.0,"N.B.: I 21 CASI POSITIVI ODIERNI TUTTI ASINTOMATICI ED INDIVIDUATI CON ATTIVITA' DI SCREENING, SONO COSI' DISTINTI: 1) N. 20 MIGRANTI DI VARIA NAZIONALITA' SBARCATI A LAMPEDUSA, SUCCESSIVAMENTE TRASFERITI AD AGRIGENTO ED ARRIVATI IN STRUTTURA DI ACCOGLIENZA DI FERRANDINA SCALO (MT) IL 02 C.M.. SOTTOPOSTI A QUARANTENA E TAMPONE OF.; 2) N. 1 CASO POSITIVO IN CITTADINA PROVENIENTE DALLA MOLDAVIA  IN ISOLAMENTO.",-,-,-
2020-08-07T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,7.0,1.0,8.0,89.0,97.0,6.0,7.0,1089.0,97.0,1159.0,124.0,1283.0,126434.0,124400.0,Sei dei sette casi confermati provengono da Fuori regione/Stato estero ,-,-,-
2020-08-07T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,32.0,2.0,34.0,338.0,372.0,-13.0,15.0,4240.0,438.0,4968.0,82.0,5050.0,345975.0,180679.0,-,-,-,-
2020-08-07T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.341720800000001,79.0,4.0,83.0,1592.0,1675.0,23.0,54.0,24041.0,4292.0,28476.0,1532.0,30008.0,714133.0,429300.0,-,-,-,-
2020-08-07T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,13.0,3.0,16.0,139.0,155.0,2.0,4.0,2935.0,346.0,3407.0,29.0,3436.0,266031.0,129930.0,-,-,-,-
2020-08-07T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,184.0,8.0,192.0,816.0,1008.0,15.0,20.0,6891.0,865.0,6231.0,2533.0,8764.0,435517.0,357556.0,-,-,-,-
2020-08-07T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,22.0,1.0,23.0,193.0,216.0,6.0,9.0,8488.0,1568.0,8445.0,1827.0,10272.0,198244.0,105914.0,-,-,-,-
2020-08-07T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,170.0,9.0,179.0,5466.0,5645.0,-83.0,69.0,74232.0,16829.0,89924.0,6782.0,96706.0,1352490.0,813260.0,-,-,-,-
2020-08-07T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,13.0,0.0,13.0,145.0,158.0,17.0,21.0,5790.0,987.0,6934.0,1.0,6935.0,173725.0,103904.0,-,-,-,-
2020-08-07T17:00:00,ITA,14.0,Molise,41.55774754,14.65916051,1.0,0.0,1.0,34.0,35.0,1.0,1.0,421.0,23.0,475.0,4.0,479.0,28840.0,27685.0,-,-,-,-
2020-08-07T17:00:00,ITA,21.0,P.A. Bolzano,46.49933453,11.35662422,8.0,0.0,8.0,120.0,128.0,4.0,4.0,2341.0,292.0,2761.0,0.0,2761.0,111813.0,57987.0,-,-,-,-
2020-08-07T17:00:00,ITA,22.0,P.A. Trento,46.06893511,11.12123097,5.0,0.0,5.0,77.0,82.0,2.0,4.0,4505.0,405.0,3399.0,1593.0,4992.0,160139.0,74347.0,-,-,-,-
2020-08-07T17:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,88.0,3.0,91.0,701.0,792.0,14.0,37.0,26871.0,4136.0,25012.0,6787.0,31799.0,516586.0,315167.0,-,-,-,-
2020-08-07T17:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,26.0,0.0,26.0,144.0,170.0,12.0,11.0,3973.0,553.0,1844.0,2852.0,4696.0,253378.0,174742.0,per 950 casi non e' disponibile la provenienza,-,-,-
