data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-06-22T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,49.0,3.0,52.0,342.0,394.0,-9.0,1.0,2428.0,460.0,-,-,3282.0,98872.0,66466.0,-,-,-,-
2020-06-22T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,1.0,0.0,1.0,7.0,8.0,0.0,0.0,366.0,27.0,-,-,401.0,37370.0,36590.0,-,-,-,-
2020-06-22T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,15.0,0.0,15.0,18.0,33.0,-3.0,1.0,1044.0,97.0,-,-,1174.0,88372.0,86321.0,-,-,-,-
2020-06-22T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,40.0,0.0,40.0,93.0,133.0,7.0,7.0,4060.0,431.0,-,-,4624.0,266472.0,127669.0,-,-,-,-
2020-06-22T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.341720800000001,129.0,12.0,141.0,1013.0,1154.0,-18.0,22.0,22854.0,4235.0,-,-,28243.0,455992.0,271706.0,-,-,-,-
2020-06-22T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,15.0,0.0,15.0,57.0,72.0,-6.0,0.0,2889.0,344.0,-,-,3305.0,175706.0,101622.0,-,-,-,-
2020-06-22T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,201.0,23.0,224.0,721.0,945.0,-46.0,8.0,6250.0,830.0,-,-,8025.0,319581.0,260369.0,-,-,-,-
2020-06-22T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,58.0,1.0,59.0,191.0,250.0,2.0,8.0,8133.0,1552.0,-,-,9935.0,137579.0,73979.0,-,-,-,-
2020-06-22T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,1047.0,51.0,1098.0,12540.0,13638.0,-205.0,143.0,62900.0,16573.0,-,-,93111.0,964735.0,575981.0,-,-,-,-
2020-06-22T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,13.0,0.0,13.0,492.0,505.0,-22.0,3.0,5275.0,994.0,-,-,6774.0,129281.0,78060.0,dc-IT-0064,-,-,-
2020-06-22T17:00:00,ITA,14.0,Molise,41.55774754,14.65916051,3.0,0.0,3.0,40.0,43.0,3.0,3.0,378.0,23.0,-,-,444.0,20752.0,19740.0,-,-,-,-
2020-06-22T17:00:00,ITA,21.0,P.A. Bolzano,46.49933453,11.35662422,4.0,1.0,5.0,84.0,89.0,14.0,11.0,2252.0,292.0,-,-,2633.0,80085.0,38636.0,-,-,-,-
2020-06-22T17:00:00,ITA,22.0,P.A. Trento,46.06893511,11.12123097,0.0,0.0,0.0,53.0,53.0,0.0,1.0,3945.0,466.0,-,-,4464.0,112483.0,58794.0,-,-,-,-
2020-06-22T17:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,346.0,19.0,365.0,1605.0,1970.0,-43.0,7.0,25223.0,4055.0,-,-,31248.0,391668.0,246563.0,-,-,-,-
2020-06-22T17:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,33.0,0.0,33.0,185.0,218.0,-4.0,0.0,3769.0,540.0,-,-,4527.0,162940.0,107702.0,-,-,-,-
2020-06-22T17:00:00,ITA,20.0,Sardegna,39.21531192,9.110616306,9.0,0.0,9.0,19.0,28.0,0.0,0.0,1209.0,132.0,-,-,1369.0,76379.0,64582.0,-,-,-,-
2020-06-22T17:00:00,ITA,19.0,Sicilia,38.11569725,13.362356699999998,20.0,6.0,26.0,115.0,141.0,0.0,0.0,2651.0,280.0,-,-,3072.0,192138.0,159796.0,-,-,-,-
2020-06-22T17:00:00,ITA,9.0,Toscana,43.76923077,11.25588885,18.0,9.0,27.0,333.0,360.0,-5.0,1.0,8752.0,1099.0,-,-,10211.0,313455.0,218271.0,-,-,-,-
2020-06-22T17:00:00,ITA,10.0,Umbria,43.10675841,12.38824698,4.0,1.0,5.0,8.0,13.0,-2.0,0.0,1347.0,78.0,-,-,1438.0,88714.0,61375.0,-,-,-,-
2020-06-22T17:00:00,ITA,2.0,Valle d'Aosta,45.73750286,7.320149366,4.0,0.0,4.0,1.0,5.0,0.0,0.0,1042.0,146.0,-,-,1193.0,18239.0,13294.0,-,-,-,-
2020-06-22T17:00:00,ITA,5.0,Veneto,45.43490485,12.33845213,29.0,1.0,30.0,555.0,585.0,2.0,2.0,16659.0,2003.0,-,-,19247.0,882529.0,390386.0,-,-,-,-
