data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-08-27T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,37.0,1.0,38.0,343.0,381.0,15.0,18.0,2852.0,472.0,3283.0,422.0,3705.0,151723.0,98466.0,-,-,-,-
2020-08-27T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,2.0,0.0,2.0,78.0,80.0,6.0,6.0,406.0,28.0,403.0,111.0,514.0,54695.0,53905.0,"N. 2 CASI POSITIVI, ALLA DATA ODIERNA ASINTOMATICI,  SONO RIFERITI - AD UNA CITTADINA RESIDENTE IN TOSCANA CHE HA EFFETTUATO TAMPONE NF PRESSO LABORATORIO DELLA REGIONE BASILICATA E CHE ATTUALMENTE E' IN ISOLAMENTO FIDUCIARIO PRESSO COMUNE DELLA STESSA REGIONE; - AD UNA CITTADINA DI NAZIONALITA' NIGERIANA CHE HA EFFETTUATO TAMPONE NF PRESSO LABORATORIO DELLA REGIONE BASILICATA E CHE ATTUALMENTE E' IN ISOLAMENTO FIDUCIARIO PRESSO COMUNE DELLA STESSA REGIONE .",-,-,-
2020-08-27T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,14.0,0.0,14.0,165.0,179.0,6.0,6.0,1146.0,97.0,1159.0,263.0,1422.0,150472.0,148438.0,-,-,-,-
2020-08-27T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,108.0,4.0,112.0,1311.0,1423.0,128.0,130.0,4373.0,445.0,5888.0,353.0,6241.0,396896.0,219960.0,-,-,-,-
2020-08-27T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.341720800000001,93.0,8.0,101.0,2366.0,2467.0,166.0,171.0,24460.0,4458.0,29098.0,2287.0,31385.0,864232.0,506243.0,-,-,-,-
2020-08-27T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,13.0,0.0,13.0,322.0,335.0,14.0,25.0,3026.0,348.0,3599.0,110.0,3709.0,316478.0,149088.0,-,-,-,-
2020-08-27T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,268.0,6.0,274.0,2281.0,2555.0,143.0,152.0,7118.0,877.0,6576.0,3974.0,10550.0,531582.0,431825.0,-,-,-,-
2020-08-27T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,26.0,0.0,26.0,432.0,458.0,18.0,37.0,8732.0,1571.0,8664.0,2097.0,10761.0,230312.0,123950.0,-,-,-,-
2020-08-27T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,173.0,14.0,187.0,6038.0,6225.0,256.0,286.0,76018.0,16857.0,91221.0,7879.0,99100.0,1535682.0,929040.0,-,-,-,-
2020-08-27T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,8.0,0.0,8.0,275.0,283.0,42.0,61.0,5924.0,987.0,7194.0,0.0,7194.0,199348.0,118825.0,-,-,-,-
