data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2021-07-17T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,22.0,1.0,23.0,916.0,939.0,15.0,34.0,71889.0,2513.0,-,-,75341.0,1772682.0,712021.0,Dal totale dei positivi è stato eliminato un caso in quanto non paziente Covid.,0.0,-,-,75341,0,1227848,544834,ITF,ITF1
2021-07-17T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,14.0,0.0,14.0,533.0,547.0,7.0,11.0,25942.0,591.0,-,-,27080.0,402257.0,214255.0," Il numero totale dei decessi ne comprende n. 22 a carico di pazienti non residenti, deceduti in strutture ospedaliere della Regione Basilicata.",0.0,-,-,27080,0,383366,18891,ITF,ITF5
2021-07-17T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,48.0,4.0,52.0,1951.0,2003.0,-2.0,51.0,66364.0,1236.0,-,-,69603.0,964248.0,882127.0,-,1.0,-,-,69589,14,893971,70277,ITF,ITF6
2021-07-17T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,182.0,12.0,194.0,6854.0,7048.0,140.0,238.0,412378.0,7560.0,-,-,426986.0,5489756.0,3308617.0,-,1.0,-,-,415398,11588,4701466,788290,ITF,ITF3
2021-07-17T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.3417208,145.0,14.0,159.0,2329.0,2488.0,130.0,207.0,372723.0,13268.0,-,-,388479.0,6998929.0,1932454.0,-,0.0,-,-,388154,325,5115971,1882958,ITH,ITH5
2021-07-17T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,8.0,0.0,8.0,237.0,245.0,12.0,30.0,103208.0,3789.0,-,-,107242.0,2239567.0,700442.0,Il totale dei casi positivi è stato ridotto di 2 a seguito di test positivi rimossi dai laboratori dopo revisione dei casi (un caso relativo alla provincia di Pordenone e un caso proveniente da fuori regione).		,0.0,-,"Si segnala, fra i casi odierni, la presenza di 1 migrante in provincia di Gorizia. 		",92735,14507,1849872,389695,ITH,ITH4
2021-07-17T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,105.0,25.0,130.0,2838.0,2968.0,323.0,500.0,337589.0,8386.0,-,-,348943.0,8013887.0,4502168.0,-,1.0,-,-,340283,8660,5090476,2923411,ITI,ITI4
2021-07-17T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,11.0,5.0,16.0,277.0,293.0,37.0,55.0,99161.0,4356.0,-,-,103810.0,1838949.0,710894.0,-,0.0,-,In Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare,103810,0,1415858,423091,ITC,ITC3
2021-07-17T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,136.0,31.0,167.0,6911.0,7078.0,-1175.0,438.0,804643.0,33808.0,-,-,845529.0,12103488.0,4777828.0,-,2.0,-,-,790345,55184,9637487,2466001,ITC,ITC4
2021-07-17T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,11.0,2.0,13.0,1441.0,1454.0,35.0,53.0,99760.0,3038.0,-,-,104252.0,1335622.0,780268.0,-,0.0,-,-,104252,0,1188066,147556,ITI,ITI3
2021-07-17T17:00:00,ITA,14.0,Molise,41.55774754,14.65916051,0.0,0.0,0.0,104.0,104.0,8.0,9.0,13212.0,492.0,-,-,13808.0,246495.0,213180.0,-,0.0,-,-,13808,0,233465,13030,ITF,ITF2
2021-07-17T17:00:00,ITA,21.0,P.A. Bolzano,46.49933453,11.35662422,6.0,0.0,6.0,153.0,159.0,19.0,34.0,72148.0,1182.0,-,-,73489.0,1681723.0,430431.0,34 nuovi positivi di cui 15 test antigenici confermati da test molecolare,0.0,-,-,60257,13232,603353,1078370,ITH,ITH1
2021-07-17T17:00:00,ITA,22.0,P.A. Trento,46.06893511,11.12123097,1.0,1.0,2.0,126.0,128.0,15.0,26.0,44443.0,1363.0,-,-,45934.0,891042.0,241916.0,-,0.0,-,-,32841,13093,687442,203600,ITH,ITH2
2021-07-17T17:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,45.0,3.0,48.0,901.0,949.0,29.0,55.0,351034.0,11699.0,-,-,363682.0,5273856.0,2050428.0,-,1.0,-,-,344878,18804,3137183,2136673,ITC,ITC1
2021-07-17T17:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,65.0,9.0,74.0,1625.0,1699.0,58.0,81.0,245768.0,6659.0,-,-,254126.0,2773928.0,1262013.0,-,1.0,-,-,253214,912,2447422,326506,ITF,ITF4
2021-07-17T17:00:00,ITA,20.0,Sardegna,39.21531192,9.110616306,56.0,4.0,60.0,1518.0,1578.0,179.0,190.0,55171.0,1494.0,-,-,58243.0,1436313.0,838017.0,-,1.0,-,-,58226,17,1001086,435227,ITG,ITG2
2021-07-17T17:00:00,ITA,19.0,Sicilia,38.11569725,13.3623567,143.0,23.0,166.0,4621.0,4787.0,378.0,431.0,224299.0,6006.0,-,-,235092.0,5084845.0,1925293.0,-,0.0,-,-,235092,0,2711590,2373255,ITG,ITG1
2021-07-17T17:00:00,ITA,9.0,Toscana,43.76923077,11.25588885,63.0,17.0,80.0,1766.0,1846.0,172.0,222.0,236989.0,6898.0,-,-,245733.0,5322515.0,2432192.0,-,1.0,-,-,242202,3531,3956913,1365602,ITI,ITI1
2021-07-17T17:00:00,ITA,10.0,Umbria,43.10675841,12.38824698,6.0,1.0,7.0,679.0,686.0,24.0,30.0,54969.0,1424.0,-,-,57079.0,1521125.0,398997.0,-,0.0,-,-,57079,0,995158,525967,ITI,ITI2
2021-07-17T17:00:00,ITA,2.0,Valle d'Aosta,45.73750286,7.320149366,0.0,0.0,0.0,24.0,24.0,2.0,2.0,11213.0,473.0,-,-,11710.0,145667.0,69007.0,-,0.0,-,-,11029,681,102151,43516,ITC,ITC2
2021-07-17T17:00:00,ITA,5.0,Veneto,45.43490485,12.33845213,44.0,10.0,54.0,6414.0,6468.0,371.0,424.0,410074.0,11629.0,-,-,428171.0,9090400.0,1880199.0,-,0.0,-,-,415972,12199,5825649,3264751,ITH,ITH3
