data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2022-01-21T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,396.0,35.0,431.0,84536.0,84967.0,3508.0,3748.0,96891.0,2738.0,-,-,184596.0,4256643.0,1109835.0,Dal totale dei positivi sono stati eliminati 6 casi in quanto non pazienti Covid e 1 caso diagnosticato da antigenico e non confermato da molecolare. Nota informativa: Del totale dei decessi comunicati in data odierna 3 casi sono avvenuti nei giorni scorsi.,3.0,-,-,127053,57543,1861673,2394970,ITF,ITF1
2022-01-21T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,90.0,3.0,93.0,16424.0,16517.0,477.0,1386.0,37016.0,665.0,-,-,54198.0,629570.0,280720.0,-,0.0,-,-,50864,3334,566797,62773,ITF,ITF5
2022-01-21T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,440.0,34.0,474.0,40642.0,41116.0,1089.0,2212.0,113739.0,1775.0,-,-,156630.0,1916935.0,1505166.0,L'asp di Cosenza comunica che nel setting fuori regione si registrano 3 nuovi casi a domicilio,2.0,-,-,145262,11368,1374425,542510,ITF,ITF6
2022-01-21T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,1339.0,100.0,1439.0,242567.0,244006.0,-2429.0,13682.0,667643.0,8856.0,-,-,920505.0,11538380.0,4251836.0,-,10.0,-,-,778175,142330,7336633,4201747,ITF,ITF3
2022-01-21T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.3417208,2459.0,145.0,2604.0,345543.0,348147.0,-293.0,20654.0,533095.0,14719.0,-,-,895961.0,12945202.0,2527253.0,"Sono stati eliminati 16 casi, comunicati nei giorni precedenti, in quanto giudicati non casi COVID-19.",13.0,-,-,703260,192701,7878822,5066380,ITH,ITH5
2022-01-21T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,426.0,40.0,466.0,57762.0,58228.0,1926.0,4712.0,167462.0,4388.0,-,-,230078.0,5036074.0,1023818.0,"Il totale dei casi positivi è stato ridotto di 11 a seguito di 5 tamponi molecolari negativi dopo test antigenico positivo (2 casi relativi alla provincia di UD, 2 casi relativi alla provincia di TS e 1 caso relativo alla provincia di PN) e a seguito di 6 test positivi rimossi dopo revisione dei casi (1 caso relativo alla provincia di PN, 4 casi relativi alla provincia di UD e 1 caso relativo alla provincia di TS).		 Si segnala che nei dati relativi agli ospedalizzati in Terapia Intensiva e Area Medica sono conteggiati tutti i pazienti risultati positivi a SARS-CoV2 ricoverati sia per Covid-19 che per altra patologia.		",4.0,-,-,161119,68959,2827093,2208981,ITH,ITH4
2022-01-21T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,1946.0,207.0,2153.0,254747.0,256900.0,10127.0,15314.0,492113.0,9620.0,-,-,758633.0,14862452.0,5180868.0,-,16.0,-,-,668682,89951,7430609,7431843,ITI,ITI4
2022-01-21T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,740.0,42.0,782.0,35708.0,36490.0,1153.0,6197.0,210279.0,4771.0,-,-,251540.0,4058742.0,1139236.0,"Si precisa che nel flusso informativo degli ospedalizzati in Area Medica e Terapia Intensiva sono conteggiati tutti i pazienti SARS-CoV2 positivi ricoverati sia per patologia Covid-19 correlata sia per altre cause. Inoltre, si fa presente che i pazienti attualmente ospedalizzati per patologia non Covid-19 correlata ammontano a circa il 30% del totale degli ospedalizzati positivi per SARS-CoV2.",4.0,-,*di cui 4850 reinfezioni a partire dal 3/09/2021 [circ. min sal. n.37911 del 20/08/2021].,188170,63370,2134900,1923842,ITC,ITC3
2022-01-21T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,3503.0,276.0,3779.0,503173.0,506952.0,-11855.0,32677.0,1382906.0,36378.0,-,-,1926236.0,28850371.0,7404100.0,-,17.0,-,-,1203896,722340,14081100,14769271,ITC,ITC4
2022-01-21T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,298.0,51.0,349.0,17734.0,18083.0,-162.0,5853.0,189268.0,3339.0,-,-,210690.0,2332968.0,1433490.0,-,3.0,-,-,176694,33996,1781318,551650,ITI,ITI3
