data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-06-21T17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,50.0,3.0,53.0,350.0,403.0,-1.0,0.0,2419.0,459.0,-,-,3281.0,98708.0,66342.0,-,-,-,-
2020-06-21T17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,1.0,0.0,1.0,7.0,8.0,0.0,0.0,366.0,27.0,-,-,401.0,37305.0,36515.0,-,-,-,-
2020-06-21T17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,17.0,0.0,17.0,19.0,36.0,6.0,6.0,1040.0,97.0,-,-,1173.0,87935.0,85884.0,-,-,-,-
2020-06-21T17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,41.0,1.0,42.0,84.0,126.0,1.0,2.0,4060.0,431.0,-,-,4617.0,265122.0,127385.0,-,-,-,-
2020-06-21T17:00:00,ITA,8.0,Emilia-Romagna,44.49436681,11.341720800000001,131.0,12.0,143.0,1029.0,1172.0,-35.0,23.0,22818.0,4231.0,-,-,28221.0,453854.0,270279.0,-,-,-,-
2020-06-21T17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,16.0,0.0,16.0,62.0,78.0,-5.0,1.0,2883.0,344.0,-,-,3305.0,174652.0,101192.0,-,-,-,-
2020-06-21T17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,247.0,39.0,286.0,705.0,991.0,4.0,8.0,6199.0,827.0,-,-,8017.0,318264.0,259128.0,-,-,-,-
2020-06-21T17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,59.0,2.0,61.0,187.0,248.0,-2.0,7.0,8130.0,1549.0,-,-,9927.0,136647.0,73566.0,-,-,-,-
2020-06-21T17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,1260.0,53.0,1313.0,12530.0,13843.0,-68.0,128.0,62555.0,16570.0,-,-,92968.0,956959.0,570750.0,-,-,-,-
2020-06-21T17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,14.0,0.0,14.0,513.0,527.0,-12.0,0.0,5247.0,994.0,-,-,6768.0,128759.0,77465.0,-,-,-,-
2020-06-21T17:00:00,ITA,14.0,Molise,41.55774754,14.65916051,2.0,0.0,2.0,38.0,40.0,-13.0,0.0,378.0,23.0,-,-,441.0,20656.0,19644.0,-,-,-,-
2020-06-21T17:00:00,ITA,21.0,P.A. Bolzano,46.49933453,11.35662422,4.0,1.0,5.0,70.0,75.0,-1.0,4.0,2255.0,292.0,-,-,2622.0,79863.0,38519.0,-,-,-,-
2020-06-21T17:00:00,ITA,22.0,P.A. Trento,46.06893511,11.12123097,0.0,0.0,0.0,53.0,53.0,2.0,5.0,3944.0,466.0,-,-,4463.0,111714.0,58345.0,-,-,-,-
2020-06-21T17:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,356.0,19.0,375.0,1638.0,2013.0,-75.0,26.0,25177.0,4051.0,-,-,31241.0,390209.0,246075.0,-,-,-,-
2020-06-21T17:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,32.0,1.0,33.0,189.0,222.0,2.0,2.0,3765.0,540.0,-,-,4527.0,161902.0,106637.0,-,-,-,-
2020-06-21T17:00:00,ITA,20.0,Sardegna,39.21531192,9.110616306,9.0,0.0,9.0,19.0,28.0,0.0,0.0,1209.0,132.0,-,-,1369.0,76086.0,64324.0,-,-,-,-
2020-06-21T17:00:00,ITA,19.0,Sicilia,38.11569725,13.362356699999998,20.0,6.0,26.0,115.0,141.0,1.0,2.0,2651.0,280.0,-,-,3072.0,191042.0,158911.0,-,-,-,-
2020-06-21T17:00:00,ITA,9.0,Toscana,43.76923077,11.25588885,19.0,9.0,28.0,337.0,365.0,-49.0,3.0,8750.0,1095.0,-,-,10210.0,311877.0,217330.0,-,-,-,-
2020-06-21T17:00:00,ITA,10.0,Umbria,43.10675841,12.38824698,4.0,1.0,5.0,10.0,15.0,-2.0,0.0,1345.0,78.0,-,-,1438.0,88509.0,61227.0,-,-,-,-
2020-06-21T17:00:00,ITA,2.0,Valle d'Aosta,45.73750286,7.320149366,4.0,0.0,4.0,1.0,5.0,-1.0,0.0,1042.0,146.0,-,-,1193.0,17392.0,13294.0,-,-,-,-
2020-06-21T17:00:00,ITA,5.0,Veneto,45.43490485,12.33845213,28.0,1.0,29.0,554.0,583.0,8.0,7.0,16660.0,2002.0,-,-,19245.0,876915.0,388938.0,-,-,-,-
