Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
240.0,21.0,71.0,278.0,2788.0,212.0,311.0,807.0,11377.0,746.0,15.0,223.0,318.0,2015.0,288.0,83.0,181.0,556.0,54.0,121.0,940.0
243.0,22.0,72.0,286.0,2843.0,217.0,316.0,828.0,11608.0,764.0,16.0,225.0,322.0,2094.0,299.0,85.0,187.0,585.0,55.0,122.0,981.0
246.0,22.0,73.0,293.0,2903.0,220.0,332.0,866.0,11851.0,785.0,16.0,234.0,342.0,2171.0,307.0,86.0,190.0,602.0,57.0,123.0,1026.0
253.0,23.0,73.0,300.0,2965.0,222.0,340.0,897.0,12050.0,795.0,16.0,239.0,348.0,2252.0,314.0,86.0,196.0,618.0,57.0,124.0,1059.0
258.0,24.0,75.0,304.0,3023.0,225.0,341.0,928.0,12213.0,807.0,17.0,245.0,360.0,2331.0,316.0,86.0,200.0,637.0,58.0,125.0,1087.0
263.0,24.0,75.0,309.0,3079.0,239.0,349.0,957.0,12376.0,822.0,18.0,249.0,366.0,2409.0,326.0,86.0,203.0,667.0,58.0,127.0,1112.0
271.0,24.0,76.0,317.0,3147.0,241.0,363.0,990.0,12579.0,834.0,18.0,251.0,376.0,2485.0,351.0,93.0,206.0,686.0,60.0,126.0,1154.0
276.0,24.0,76.0,327.0,3204.0,246.0,370.0,1022.0,12740.0,845.0,19.0,256.0,381.0,2559.0,362.0,96.0,208.0,705.0,61.0,127.0,1181.0
280.0,24.0,76.0,332.0,3269.0,256.0,375.0,1047.0,12940.0,857.0,20.0,261.0,382.0,2630.0,372.0,98.0,213.0,723.0,61.0,127.0,1206.0
286.0,24.0,80.0,336.0,3303.0,258.0,384.0,1076.0,13106.0,865.0,20.0,263.0,389.0,2699.0,383.0,102.0,218.0,742.0,62.0,129.0,1244.0
293.0,25.0,80.0,341.0,3347.0,263.0,387.0,1093.0,13269.0,874.0,21.0,265.0,400.0,2767.0,391.0,103.0,224.0,760.0,63.0,130.0,1288.0
295.0,25.0,80.0,345.0,3386.0,264.0,389.0,1114.0,13325.0,879.0,21.0,269.0,405.0,2823.0,399.0,109.0,228.0,778.0,64.0,131.0,1315.0
299.0,25.0,83.0,352.0,3431.0,271.0,397.0,1128.0,13449.0,884.0,21.0,270.0,407.0,2878.0,405.0,109.0,231.0,795.0,65.0,133.0,1344.0
310.0,25.0,85.0,358.0,3472.0,278.0,414.0,1141.0,13575.0,893.0,21.0,272.0,412.0,2936.0,407.0,109.0,232.0,811.0,65.0,135.0,1408.0
