Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
1.0,1.0,2.0,3.0,25.0,1.0,20.0,10.0,252.0,1.0,0.0,2.0,2.0,42.0,1.0,1.0,0.0,10.0,0.0,0.0,5.0
4.0,0.0,0.0,-229.0,33.0,3.0,27.0,7.0,272.0,1.0,0.0,2.0,2.0,31.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0
4.0,0.0,1.0,0.0,28.0,6.0,25.0,4.0,210.0,2.0,0.0,2.0,3.0,40.0,0.0,0.0,1.0,7.0,0.0,0.0,13.0
4.0,0.0,0.0,1.0,17.0,0.0,14.0,4.0,244.0,4.0,0.0,3.0,1.0,30.0,0.0,0.0,1.0,8.0,0.0,0.0,7.0
0.0,0.0,0.0,4.0,11.0,0.0,3.0,8.0,259.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,13.0,1.0,9.0,4.0,143.0,1.0,0.0,0.0,0.0,29.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0
2.0,0.0,0.0,1.0,14.0,2.0,10.0,5.0,242.0,1.0,1.0,0.0,1.0,41.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0
2.0,0.0,3.0,1.0,32.0,2.0,9.0,7.0,216.0,4.0,0.0,2.0,8.0,31.0,3.0,1.0,2.0,2.0,0.0,0.0,8.0
1.0,0.0,0.0,0.0,27.0,2.0,9.0,7.0,157.0,0.0,1.0,2.0,1.0,26.0,1.0,1.0,3.0,10.0,1.0,0.0,2.0
1.0,0.0,3.0,0.0,28.0,1.0,14.0,10.0,165.0,0.0,0.0,0.0,0.0,27.0,5.0,1.0,0.0,2.0,0.0,2.0,3.0
0.0,0.0,6.0,2.0,23.0,1.0,8.0,7.0,128.0,0.0,0.0,4.0,5.0,26.0,2.0,0.0,2.0,3.0,0.0,0.0,7.0
1.0,0.0,1.0,7.0,22.0,0.0,8.0,8.0,143.0,3.0,3.0,11.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
0.0,0.0,1.0,10.0,17.0,0.0,8.0,4.0,62.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,6.0,0.0,0.0,3.0
